,feature,importance_mean,importance_std
132,Correlation1_tissue_T1,0.0020214030915576275,0.000928686049453855
155,Ratio_Tissue_vol_enhancing_more_than_100percent_from_T1_to_Tissue_Vol,0.0013079667063019772,0.0008323424494649163
144,WashinRate_map_Energy_tissue_PostCon,0.0013079667063019662,0.0006403287523346608
20,1st_DFT_CoeffMap_Momment_Invariant_7_3D_tumor,0.0011890606420927098,0.0017636619469906382
227,Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_PostCon_Group_1,0.0011890606420926764,0.0
206,Grouping_based_variance_of_washin_slope_3D_tissue_T1_Group_3,0.0010701545778834197,0.0006403287523346464
0,Peak_SER_tissue_PostCon,0.0010701545778834087,0.00035671819262780293
70,globalMoransIEnhancementVarianceMap_Tumor,0.0009512485136741522,0.000713436385255628
52,WashinRate_map_mean_tumor,0.0009512485136741411,0.0004756242568370705
42,Margin_Gradient_Tumor,0.0008323424494648846,0.0007613703017161307
222,Grouping_based_mean_of_washout_slope_3D_tissue_PostCon_Group_2,0.0007134363852556169,0.0007887336005601193
58,ASD_Tumor,0.0005945303210463382,0.0005945303210463382
48,Correlation1_Tumor,0.0005945303210463382,0.0005945303210463382
106,Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_1,0.0005945303210463271,0.0007976461275266564
211,"F1_DT_POSTCON (T11=0.05,T12=0.8)",0.00047562425683707056,0.0005825183692706381
216,"F1_DT_POSTCON (T11=0.02,T12=0.5)",0.00047562425683707056,0.0005825183692706381
6,Peak_SER_tumor,0.00047562425683705944,0.0007887336005601193
38,PE_map_kurtosis_tumor,0.00023781212841853528,0.00047562425683707056
192,PE_map_std_dev_tissue_T1,0.00011890606420926764,0.0003567181926278029
120,WashinRate_map_sum_entropy_tissue_T1,0.00011890606420926764,0.00035671819262780293
181,SER_map_difference_entropy_tissue_PostCon,0.00011890606420926764,0.00035671819262780293
242,Ratio_Tissue_vol_enhancing_more_than_0percent_from_T1_to_Tissue_Vol,0.00011890606420926764,0.0003567181926278029
63,SER_map_kurtosis_tumor,0.00011890606420926764,0.00035671819262780293
253,Date of Birth (Days),0.00011890606420925654,0.0006403287523346464
123,WashinRate_map_sum_entropy_tissue_PostCon,0.00011890606420925654,0.0006403287523346463
166,SER_map_sum_entropy_tissue_T1,0.0,0.0
150,WashinRate_map_Dissimilarity_tissue_PostCon,0.0,0.0
157,WashinRate_map_skewness_tissue_T1,0.0,0.0
158,inverse_difference_normalized_tissue_PostCon,0.0,0.0
167,WashinRate_map_std_dev_tissue_T1,0.0,0.0
162,WashinRate_map_mean_tissue_PostCon,0.0,0.0
154,WashinRate_map_kurtosis_tissue_T1,0.0,0.0
170,"F1_DT_POSTCON (T11=0.2,T12=0.8)",0.0,0.0
171,breastDensity_T1,0.0,0.0
152,Washout_rate_from_char_curv,0.0,0.0
160,PE_map_skewness_tissue_T1,0.0,0.0
139,Dissimilarity_tissue_T1,0.0,0.0
147,Mean_norm_DLBP_max_timepoint_binsize_128_with_filling_Tumor,0.0,0.0
145,PE_map_kurtosis_tissue_PostCon,0.0,0.0
107,Time_to_Peak_from_char_curv,0.0,0.0
110,SER_map_inverse_difference_normalized_tumor,0.0,0.0
111,Median_Euler_No_Tumor,0.0,0.0
114,Grouping_based_variance_of_washout_slope_3D_tissue_PostCon_Group_2,0.0,0.0
115,Grouping_based_proportion_of_3D_tissue_T1_Group_1,0.0,0.0
119,PE_map_sum_entropy_tissue_T1,0.0,0.0
124,PE_map_sum_entropy_tissue_PostCon,0.0,0.0
126,sum_entropy_tissue_PostCon,0.0,0.0
128,sum_entropy_tissue_T1,0.0,0.0
129,difference_entropy_tissue_T1,0.0,0.0
133,Correlation2_tissue_T1,0.0,0.0
135,Correlation2_tissue_PostCon,0.0,0.0
136,Cluster_Shade_tissue_T1,0.0,0.0
137,WashinRate_map_Dissimilarity_tissue_T1,0.0,0.0
138,PE_map_kurtosis_tissue_T1,0.0,0.0
141,Cluster_Prominence_tissue_T1,0.0,0.0
143,Energy_tissue_PostCon,0.0,0.0
173,PE_map_Correlation1_tissue_T1,0.0,0.0
188,SER_map_std_dev_tissue_T1,0.0,0.0
178,SER_map_skewness_tissue_PostCon,0.0,0.0
